di_id,name,change_percent,change_numeric,buy,sell,latest,high,low,volume,time,list
1463723,Ahlstrom-Munksjö,-0.22,-0.4,179.4,180.2,180.4,180.8,179,578,17:24,Large Cap
1464521,Klövern B,-0.47,-0.06,12.59,12.61,12.6,12.81,12.58,2393125,17:29,Large Cap
1474523,Lundin Gold,-0.29,-0.2,68.7,69,68.7,70.6,68.4,234056,17:29,Mid Cap
1500035,Eltel,0.9,0.25,27.95,28.2,27.95,28.1,27.6,66530,17:30,Mid Cap
1504432,Dustin Group,2.15,1.8,85.3,85.5,85.4,85.9,83.6,164768,17:29,Mid Cap
1532836,Cantargia,-21.33,-10.6,39.25,39.3,39.1,40.75,30.5,4511562,17:29,Mid Cap
1534561,Evolution Gaming Group,5.34,54,1 068.00,1 069.00,1 064.50,1 072.50,1 009.00,783667,17:29,Large Cap
1537811,Hoist Finance,-1.1,-0.48,43.1,43.24,43.3,43.96,42.54,142310,17:29,Mid Cap
1540239,Troax Group,1.59,4,255.5,256,256,258.5,248.5,108095,17:29,Mid Cap
1542337,K2A Knaust & Andersson..,-1.19,-4,330,331,331,331,330,2373,17:23,Mid Cap
1561816,Tobii,4.77,2.85,62.6,62.8,62.65,62.8,58.8,258426,17:29,Mid Cap
1573845,Oscar Properties Holding Pref,6.97,5.9,90.5,90.8,90.5,90.9,81.1,3755,17:23,Small Cap
1584526,Volati Pref,-0.62,-4,646,650,646,652,646,1520,17:29,Mid Cap
1584978,Magnolia Bostad,0,0,57.4,57.8,57.8,59.2,57,17187,17:29,Small Cap
1586617,Collector,-3.18,-0.85,25.75,25.8,25.9,26.8,25.7,523544,17:29,Mid Cap
1586885,Starbreeze A,-2.98,-0.06,1.83,1.84,1.79,1.85,1.79,143596,17:29,Small Cap
1592049,Nilörngruppen B,0.18,0.1,54.1,54.6,54.6,55,53,8229,17:24,Small Cap
1594577,Coor Service Management..,1.1,0.7,64.1,64.5,64.1,64.7,63.1,132309,17:29,Mid Cap
1595119,Alimak Group,2.86,4,142.6,143.4,144,144,139.8,58284,17:29,Mid Cap
1595623,Pandox B,0.53,0.8,151.2,151.6,151.2,152.2,149.8,170375,17:29,Large Cap
1595624,Nobina,0.57,0.4,70.55,70.7,70.85,71.1,70.05,293941,17:29,Mid Cap
1675000,Sinch,9.83,138,1 540.00,1 546.00,1 542.00,1 560.00,1 390.00,462518,17:29,Large Cap
1683669,Bravida Holding,1.91,2.1,112,112.2,112.2,112.6,109.6,126100,17:29,Large Cap
1717403,Dometic Group,1.98,2.35,120.8,120.95,121.25,121.95,118,415921,17:29,Large Cap
1719326,Attendo,3.18,1.5,48.6,48.7,48.72,49.26,47.12,299683,17:29,Mid Cap
1719873,Immunovia,1.9,2.2,118.2,119,118,120,115,32647,17:29,Mid Cap
1720645,Scandic Hotels Group,2.13,0.84,40.36,40.46,40.34,40.76,38.58,2113691,17:29,Mid Cap
1721151,Camurus,-1.17,-2.5,209.5,210.5,210.5,213,205,115827,17:29,Mid Cap
1726323,Vicore Pharma Holding,-0.35,-0.1,28.8,28.9,28.8,29.5,28.4,57122,17:29,Small Cap
1735395,Genova Property Group Pref,-0.39,-0.5,128,128.5,128.5,129,128.5,11282,17:24,Mid Cap
1789051,Xbrane Biopharma,1.63,1.6,98.6,99.4,100,102,96.4,23694,17:29,Small Cap
1795672,Catena Media,-0.05,-0.02,40.76,40.82,40.74,41.02,39.82,1010073,17:29,Mid Cap
1827997,Garo,6.46,36,590,593,593,594,550,33338,17:29,Mid Cap
1827998,AddLife B,1.44,2.4,169.6,170.4,169.6,173.8,163,109114,17:29,Mid Cap
1829009,LeoVegas,1.64,0.66,40.84,40.9,40.92,40.98,39.66,769480,17:29,Mid Cap
1859612,Humana,3.57,2.4,69.6,69.7,69.7,70,66.9,109431,17:29,Mid Cap
1866041,Infant Bacterial Therapeutics..,0,0,106.4,107.2,106.4,107,103.8,7261,17:24,Mid Cap
1896442,Resurs Holding,-0.2,-0.1,50.5,50.6,50.65,51,50.05,592815,17:29,Large Cap
1912764,Oscar Properties Holding Pref..,-14.15,-22.5,136.5,156,136.5,160,125.5,153,17:24,Small Cap
1957868,Bonava A,0.61,0.6,99.4,99.8,99.8,99.8,99.8,1372,17:29,Mid Cap
1957869,Bonava B,0.76,0.75,99.75,100,100.1,100.2,98.7,259417,17:29,Mid Cap
1961665,Nordic Waterproofing Holding,1.82,2.8,156.2,156.4,156.8,158.8,155,27015,17:29,Mid Cap
1965141,B3 Consulting Group,-0.23,-0.1,43,43.5,43.4,43.6,42.7,5312,17:24,Small Cap
1967015,TF Bank,2.54,3,120.5,121,121,121,116,36493,17:29,Mid Cap
1968776,AcadeMedia,-1.77,-1.5,83,83.2,83.3,85,83,58712,17:29,Mid Cap
2699139,Maha Energy A,-0.15,-0.02,13.7,13.75,13.74,13.97,13.1,566906,17:29,Small Cap
3033222,Brinova Fastigheter B,-0.67,-0.2,29.6,29.8,29.6,30,29.3,21903,17:24,Mid Cap
3073813,CELLINK B,5.2,19.5,393.5,394.5,394.5,398,370.5,150618,17:29,Mid Cap
3078297,Sagax D,0.47,0.15,32.05,32.1,32,32.1,31.9,341448,17:29,Large Cap
3100862,Alligator Bioscience,-1.37,-0.09,6.54,6.56,6.5,6.59,6.45,77063,17:29,Small Cap
3102002,Serneke Group B,2.37,1.2,51.4,51.8,51.8,52.8,50.7,51583,17:29,Small Cap
3109543,Volati,-0.96,-1,104.8,106,103,106.2,100.8,38351,17:29,Mid Cap
3464548,Oncopeptides,3.75,6,165.2,165.4,166,166.2,155.7,522771,17:29,Mid Cap
3474094,IRLAB Therapeutics A,1.38,0.5,36.6,36.8,36.8,36.8,35.55,14202,17:29,Mid Cap
3514035,Mips,4.18,24.5,611.5,613,611,617.5,573.5,94627,17:29,Mid Cap
3520421,Ambea,1.38,1,73.2,73.3,73.3,73.3,71.9,179799,17:29,Mid Cap
3528155,Actic Group,2.13,0.35,16.8,16.85,16.8,16.85,16.15,3546,17:29,Small Cap
3530062,FM Mattsson B,-1.43,-2.5,172.5,173.5,172.5,174,170,6099,17:24,Small Cap
